id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
3781,100%,19%,t,3,6,t,f,East Boston,42.36413,-71.02991,Entire rental unit,Entire home/apt,2,1,1,1,$125.00 ,29,1125,t,3,21,51,326,26,0,0,61,1,0,0,4.96,5,4.96,5,4.96,4.85,4.88,f,1,1,0,0,0.21
5506,100%,100%,t,12,15,t,t,Roxbury,42.32844,-71.09581,Entire guest suite,Entire home/apt,2,1,1,1,$129.00 ,3,90,t,3,28,58,67,138,9,0,67,10,54,6966,4.82,4.89,4.91,4.95,4.9,4.58,4.77,f,11,11,0,0,0.69
6695,100%,100%,t,12,15,t,t,Roxbury,42.32802,-71.09387,Entire condo,Entire home/apt,4,1,0,2,$168.00 ,3,730,t,2,17,47,56,141,8,0,56,8,48,8064,4.81,4.83,4.86,4.9,4.94,4.54,4.72,f,11,11,0,0,0.72
8789,100%,37%,t,8,32,t,t,Beacon Hill,42.35867,-71.06307,Entire rental unit,Entire home/apt,2,1,1,2,$140.00 ,91,365,t,0,0,3,277,29,0,0,12,1,0,0,4.69,4.69,4.55,4.93,4.97,4.97,4.59,f,4,4,0,0,0.21
10811,94%,59%,f,21,29,t,t,Back Bay,42.35173,-71.08685,Entire rental unit,Entire home/apt,3,1,0,1,$166.00 ,91,1125,t,30,60,79,218,9,0,0,79,0,0,0,4.33,4.44,4.67,4.56,4,5,4.67,f,12,12,0,0,0.08
10813,94%,59%,f,21,29,t,t,Back Bay,42.35061,-71.08787,Entire rental unit,Entire home/apt,2,1,0,1,$202.00 ,32,1125,t,0,0,0,117,6,1,0,1,0,64,12928,5,5,4.83,5,5,5,4.83,f,12,12,0,0,0.08
10986,94%,59%,f,21,29,t,t,North End,42.36377,-71.05206,Entire condo,Entire home/apt,2,1,0,1,$202.00 ,60,1125,t,14,25,55,330,2,1,0,65,1,120,24240,4.5,5,3.5,3.5,5,5,4,f,12,12,0,0,0.1
18711,84%,95%,f,60,97,t,t,Dorchester,42.32212,-71.06096,Entire rental unit,Entire home/apt,6,1,3,3,$162.00 ,30,360,t,0,0,11,286,51,0,0,21,0,0,0,4.3,4.5,4.71,4.56,4.46,4.24,4.48,f,58,18,40,0,0.27
29765,N/A,100%,f,1,4,t,t,Charlestown,42.37754,-71.06642,Entire rental unit,Entire home/apt,2,1,1,1,$323.00 ,2,28,t,1,1,1,173,103,2,0,1,2,12,3876,4.97,4.96,4.97,5,4.97,4.81,4.94,f,1,1,0,0,0.55
40601,100%,70%,t,1,1,t,t,Jamaica Plain,42.31347,-71.11082,Private room in home,Private room,2,1.5,1,1,$91.00 ,14,120,t,6,36,66,341,103,3,0,76,4,84,7644,4.98,4.95,5,4.97,4.94,4.93,4.93,f,1,0,1,0,0.56
45987,100%,100%,t,1,3,t,t,Charlestown,42.37424,-71.06081,Entire rental unit,Entire home/apt,3,1,1,1,$176.00 ,29,1125,t,0,14,44,44,143,3,0,44,4,174,30624,4.67,4.69,4.77,4.75,4.72,4.83,4.54,f,1,1,0,0,0.78
47521,96%,81%,f,7,9,t,t,Dorchester,42.29871,-71.05954,Entire home,Entire home/apt,2,1,0,1,$59.00 ,3,365,t,2,22,52,61,334,0,0,61,1,0,0,4.45,4.53,4.44,4.72,4.71,4.26,4.51,f,5,2,3,0,1.82
60029,100%,71%,t,1,6,t,t,Roxbury,42.32546,-71.08894,Private room in rental unit,Private room,1,1,1,1,$72.00 ,29,31,t,22,52,82,233,145,0,0,92,1,0,0,4.73,4.65,4.57,4.87,4.91,4.16,4.63,f,1,0,1,0,0.81
60356,100%,37%,t,8,32,t,t,Beacon Hill,42.35894,-71.0631,Entire rental unit,Entire home/apt,2,1,1,1,$106.00 ,32,365,t,0,0,0,114,19,0,0,0,0,0,0,4.84,4.89,4.63,4.84,4.89,5,4.68,f,4,4,0,0,0.13
77681,N/A,N/A,f,1,2,t,f,Charlestown,42.37865,-71.06373,Private room in rental unit,Private room,2,1,1,1,$140.00 ,29,730,t,30,60,90,365,71,0,0,99,0,0,0,4.36,4.52,4.39,4.41,4.49,4.73,4.39,f,1,0,1,0,0.42
77691,96%,81%,f,7,9,t,t,Dorchester,42.29871,-71.05954,Private room in home,Private room,2,,,,,29,365,t,0,22,52,324,304,2,0,61,4,116,,4.41,4.49,4.37,4.58,4.62,4.15,4.42,f,5,2,3,0,1.72
163941,100%,100%,t,12,15,t,t,Roxbury,42.32806,-71.09423,Entire condo,Entire home/apt,6,1,2,3,$225.00 ,3,365,t,2,11,35,45,317,34,1,45,23,204,45900,4.71,4.84,4.82,4.9,4.9,4.48,4.67,f,11,11,0,0,1.85
184893,80%,33%,f,9,18,t,t,Charlestown,42.37823,-71.06778,Entire rental unit,Entire home/apt,4,,1,,,91,1000,t,24,54,84,263,0,0,0,93,0,0,,,,,,,,,t,3,2,1,0,
197727,100%,80%,t,1,2,t,t,Jamaica Plain,42.31331,-71.12061,Private room in condo,Private room,1,1,1,1,$62.00 ,30,90,t,0,0,30,305,66,6,0,40,6,255,15810,4.97,4.95,4.97,5,4.98,4.91,4.94,f,1,0,1,0,0.39
197972,100%,100%,t,2,4,t,t,Jamaica Plain,42.31533,-71.11025,Entire rental unit,Entire home/apt,2,1,1,1,$174.00 ,3,150,t,2,19,32,107,570,47,3,32,53,255,44370,4.89,4.93,4.92,4.96,4.97,4.92,4.81,f,2,2,0,0,3.36
205894,96%,81%,f,7,9,t,t,Dorchester,42.29871,-71.05954,Private room in home,Private room,2,,3,,,29,365,t,0,22,52,323,217,1,0,61,2,58,,4.45,4.61,4.52,4.63,4.62,4.24,4.45,f,5,2,3,0,1.27
210097,100%,79%,t,1,1,t,t,Jamaica Plain,42.31685,-71.10867,Entire home,Entire home/apt,2,1,0,1,$133.00 ,3,60,t,3,11,41,218,330,22,3,51,23,132,17556,4.9,4.93,4.87,4.94,4.94,4.92,4.82,f,1,1,0,0,1.93
220676,100%,95%,t,1,1,t,t,North End,42.36614,-71.05226,Private room in townhouse,Private room,3,1,1,1,$279.00 ,3,1125,t,8,29,59,179,366,25,2,68,23,150,41850,4.93,4.92,4.93,4.96,4.99,4.98,4.85,f,1,0,1,0,2.15
257588,100%,100%,t,2,2,t,t,South Boston,42.33255,-71.04125,Entire rental unit,Entire home/apt,4,1,2,2,$322.00 ,2,365,t,8,25,48,314,536,36,2,58,49,216,69552,4.85,4.89,4.93,4.95,4.95,4.84,4.71,f,1,1,0,0,3.34
297994,100%,41%,t,1,3,t,t,South Boston,42.33583,-71.05271,Entire home,Entire home/apt,4,1,2,2,$270.00 ,1,150,t,11,34,64,239,71,12,0,74,14,72,19440,4.59,4.37,3.97,4.7,4.86,4.41,4.31,f,1,1,0,0,0.43
315982,96%,81%,f,7,9,t,t,Dorchester,42.29871,-71.05954,Entire townhouse,Entire home/apt,4,2,2,3,$245.00 ,1,365,t,2,27,57,329,121,1,0,66,1,6,1470,4.36,4.66,4.34,4.65,4.63,3.97,4.34,f,5,2,3,0,0.73
377474,96%,81%,f,7,9,t,t,Dorchester,42.29871,-71.05954,Private room in home,Private room,1,0.5,1,1,$50.00 ,1,365,t,11,19,36,304,118,24,8,46,32,144,7200,4.66,4.59,4.75,4.78,4.75,4.3,4.58,t,5,2,3,0,0.74
447826,100%,91%,t,1,1,t,t,Jamaica Plain,42.31658,-71.11012,Private room in home,Private room,2,1,1,1,$76.00 ,5,90,t,9,20,43,209,431,24,3,53,24,240,18240,4.84,4.83,4.72,4.97,4.97,4.88,4.84,f,1,0,1,0,2.67
496022,N/A,N/A,f,1,4,t,t,Jamaica Plain,42.31062,-71.1176,Private room in home,Private room,2,,,,,91,120,t,0,0,0,0,16,0,0,0,0,0,,4.93,4.81,4.88,4.75,5,4.94,4.75,f,1,0,1,0,0.11
507525,N/A,N/A,f,1,1,t,t,Bay Village,42.34914,-71.06781,Entire rental unit,Entire home/apt,2,,1,,,180,180,,0,0,0,0,8,0,0,0,0,0,,5,4.75,4.63,4.5,4.5,5,4.75,f,1,1,0,0,0.05
530983,84%,95%,f,60,97,t,t,Dorchester,42.31368,-71.0612,Entire home,Entire home/apt,9,,5,,,30,365,t,0,0,0,0,65,0,0,0,0,0,,4.4,4.67,4.4,4.8,4.59,4.54,4.59,f,58,18,40,0,0.41
533152,84%,95%,f,60,97,t,t,Dorchester,42.32212,-71.06096,Entire rental unit,Entire home/apt,5,1,2,2,$123.00 ,30,365,t,0,19,49,324,66,3,1,59,1,180,22140,4.67,4.85,4.79,4.5,4.52,4.47,4.73,f,58,18,40,0,0.47
579605,84%,95%,f,60,97,t,t,Dorchester,42.32212,-71.06095,Entire rental unit,Entire home/apt,6,1,3,3,$153.00 ,30,365,t,0,0,0,46,58,0,0,0,0,0,0,4.43,4.64,4.67,4.66,4.47,4.29,4.52,f,58,18,40,0,0.36
583255,N/A,N/A,f,1,2,t,t,Brighton,42.34096,-71.14647,Entire rental unit,Entire home/apt,2,,1,,,91,1125,t,0,0,0,0,11,0,0,0,0,0,,5,5,5,5,5,4.82,5,f,1,1,0,0,0.07
601750,84%,95%,f,60,97,t,t,West Roxbury,42.29061,-71.15293,Entire rental unit,Entire home/apt,3,1,2,1,$194.00 ,30,180,t,28,58,88,363,0,0,0,98,0,0,0,,,,,,,,f,58,18,40,0,
601763,84%,95%,f,60,97,t,t,West Roxbury,42.29192,-71.15407,Entire rental unit,Entire home/apt,5,1,3,3,$150.00 ,30,180,t,0,23,53,189,43,0,0,62,0,0,0,4.56,4.63,4.67,4.6,4.42,4.58,4.44,t,58,18,40,0,0.42
611081,100%,99%,f,18,18,t,f,Charlestown,42.37579,-71.04981,Houseboat,Entire home/apt,6,1,1,4,$251.00 ,2,1125,t,9,27,53,319,142,20,2,63,27,120,30120,4.8,4.82,4.67,4.8,4.86,4.86,4.67,t,3,3,0,0,1.29
619142,100%,96%,t,1,2,t,t,Charlestown,42.377338,-71.063095,Entire home,Entire home/apt,2,1,1,1,$175.00 ,3,1125,t,0,0,0,2,199,10,2,2,8,60,10500,4.8,4.8,4.69,4.98,4.97,4.87,4.75,f,1,1,0,0,1.24
708802,100%,89%,t,2,2,t,t,Charlestown,42.3782692,-71.06332397,Entire rental unit,Entire home/apt,4,1,1,2,$208.00 ,2,60,t,2,2,12,177,521,43,6,12,45,255,53040,4.91,4.96,4.93,4.98,4.97,4.88,4.85,f,1,1,0,0,3.31
743211,100%,98%,t,2,3,t,t,Jamaica Plain,42.30833,-71.11456,Entire home,Entire home/apt,10,2.5,4,4,$621.00 ,3,30,t,3,22,44,284,93,10,0,44,10,60,37260,4.86,4.79,4.74,4.97,4.96,4.7,4.54,f,2,2,0,0,0.61
750438,100%,97%,t,7,7,t,t,Jamaica Plain,42.30733,-71.11129,Private room in rental unit,Private room,1,1,1,1,$116.00 ,2,31,t,11,30,49,227,317,28,0,57,33,168,19488,4.89,4.9,4.83,4.95,4.97,4.92,4.83,f,1,0,1,0,2.12
753446,N/A,N/A,f,1,1,t,f,Roslindale,42.28573,-71.12334,Private room in condo,Private room,2,1,1,2,$55.00 ,91,1125,t,30,60,90,365,141,0,0,99,0,0,0,4.82,4.91,4.91,4.91,4.91,4.68,4.85,f,1,0,1,0,1.15
801680,100%,100%,t,12,15,t,t,Roxbury,42.32795,-71.09412,Entire condo,Entire home/apt,4,1,0,1,$141.00 ,3,90,t,0,10,40,49,74,4,0,49,7,24,3384,4.85,4.91,4.89,4.86,4.8,4.48,4.78,f,11,11,0,0,0.47
820073,100%,95%,t,2,2,t,t,Downtown,42.3558,-71.06104,Entire loft,Entire home/apt,4,2,1,2,$449.00 ,2,1125,t,5,34,45,319,240,57,4,54,61,255,114495,4.97,4.99,5,4.99,5,4.85,4.85,t,2,2,0,0,1.58
849408,100%,100%,t,2,3,t,t,Roslindale,42.29038,-71.13919,Entire rental unit,Entire home/apt,8,2,3,4,$420.00 ,5,730,t,0,24,24,73,114,10,1,24,16,100,42000,4.88,4.92,4.87,4.94,4.93,4.74,4.77,f,2,2,0,0,0.8
863788,N/A,N/A,f,1,1,t,t,South End,42.344162,-71.070381,Entire condo,Entire home/apt,4,,2,,,3,150,t,0,0,0,0,25,0,0,0,2,0,,5,5,4.92,5,5,5,4.96,f,1,1,0,0,0.17
894539,100%,91%,t,2,3,t,t,Roslindale,42.29017,-71.13169,Private room in bed and breakfast,Private room,2,1.5,1,1,$82.00 ,29,1124,t,0,0,0,184,68,5,1,0,0,255,20910,4.87,4.93,4.81,4.93,4.94,4.79,4.88,f,2,0,2,0,0.47
962610,100%,100%,t,2,3,t,t,West Roxbury,42.29175,-71.14096,Entire rental unit,Entire home/apt,2,1,1,2,$136.00 ,4,729,t,5,23,32,53,113,12,1,32,8,96,13056,4.91,4.95,4.99,4.93,4.87,4.73,4.87,f,2,2,0,0,0.76
973695,100%,100%,t,4,4,t,t,Downtown,42.3597641,-71.06116486,Private room in condo,Private room,4,1,1,2,$182.00 ,91,1125,t,30,60,90,365,61,0,0,99,0,0,0,4.76,4.79,4.89,4.69,4.82,4.8,4.66,f,1,0,1,0,0.42
989163,100%,96%,t,7,8,t,t,South End,42.34308,-71.07316,Entire rental unit,Entire home/apt,2,1,0,1,$289.00 ,2,365,t,14,38,68,197,93,10,2,77,8,60,17340,4.86,4.78,4.94,4.9,4.9,4.96,4.56,f,7,7,0,0,0.63
1055627,N/A,N/A,f,2,3,t,f,Downtown,42.36194,-71.06256,Entire rental unit,Entire home/apt,3,,1,,,91,1125,,0,0,0,0,8,0,0,0,0,0,,4.25,4.25,3.75,4.88,4.75,5,4.25,f,2,1,1,0,0.05
1071235,100%,100%,t,2,4,t,t,Jamaica Plain,42.31653,-71.11049,Entire rental unit,Entire home/apt,2,1,1,1,$158.00 ,3,180,t,1,12,29,119,416,47,3,39,54,255,40290,4.85,4.9,4.9,4.96,4.95,4.91,4.81,f,2,2,0,0,2.76
1077105,N/A,N/A,f,1,1,t,f,South End,42.34022,-71.075,Entire rental unit,Entire home/apt,2,,,,,91,1125,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,f,1,1,0,0,
1090545,N/A,N/A,f,1,9,t,t,Back Bay,42.34475,-71.08204,Private room in home,Private room,1,1,1,1,$204.00 ,29,365,t,30,60,90,365,117,0,0,99,0,0,0,4.63,4.63,4.69,4.82,4.84,4.98,4.6,f,1,0,1,0,0.78
1092093,100%,37%,t,8,32,t,t,Mission Hill,42.33395767,-71.10222626,Entire rental unit,Entire home/apt,2,2,1,1,$135.00 ,91,260,t,0,0,0,262,31,0,0,0,0,0,0,4.68,4.87,4.6,4.9,4.76,4.83,4.72,f,4,4,0,0,0.21
1109224,100%,100%,f,1,1,t,t,Jamaica Plain,42.32004,-71.11185,Entire condo,Entire home/apt,8,2,4,6,$442.00 ,2,1125,t,7,27,51,268,97,4,0,52,3,24,10608,4.74,4.85,4.73,4.87,4.79,4.67,4.61,t,1,1,0,0,0.66
1130279,100%,99%,t,1,1,t,t,North End,42.36489,-71.05198,Entire rental unit,Entire home/apt,6,1,3,3,$505.00 ,2,30,t,14,40,70,329,203,36,0,79,30,216,109080,4.79,4.81,4.81,4.92,4.88,4.96,4.65,f,1,1,0,0,1.35
1161210,100%,88%,f,1,2,t,t,West Roxbury,42.27171,-71.16688,Private room in home,Private room,3,1,1,2,$86.00 ,2,30,t,19,49,79,354,209,2,1,89,0,12,1032,4.57,4.62,4.78,4.69,4.74,4.37,4.61,f,1,0,1,0,1.39
1252489,N/A,N/A,f,1,1,t,t,Beacon Hill,42.35977,-71.06774,Entire rental unit,Entire home/apt,2,,1,,,91,365,t,0,0,0,0,64,0,0,0,0,0,,4.92,4.98,4.84,4.89,4.97,5,4.7,f,1,1,0,0,0.43
1275498,100%,96%,t,7,8,t,t,South End,42.34294,-71.07304,Entire rental unit,Entire home/apt,2,1,1,1,$358.00 ,2,365,t,8,34,64,123,123,13,2,73,12,78,27924,4.84,4.86,4.92,4.93,4.93,4.98,4.59,f,7,7,0,0,0.83
1303261,N/A,N/A,f,1,1,t,t,Beacon Hill,42.35714,-71.06968,Entire rental unit,Entire home/apt,2,1,1,2,$340.00 ,91,180,t,24,54,84,359,23,0,0,93,0,0,0,4.45,4.91,4.48,4.83,4.83,5,4.39,f,1,1,0,0,0.16
1321422,100%,99%,t,2,7,t,t,Dorchester,42.30907,-71.04674,Entire rental unit,Entire home/apt,4,,2,,,2,45,t,0,0,0,0,682,11,0,0,60,66,,4.89,4.92,4.95,4.94,4.9,4.8,4.88,t,2,1,1,0,4.59
1445064,100%,80%,t,1,2,t,t,Charlestown,42.3800475,-71.062315,Private room in rental unit,Private room,1,1,1,1,$65.00 ,29,62,t,1,1,24,298,122,6,0,33,4,255,16575,4.7,4.8,4.8,4.79,4.81,4.71,4.63,f,1,0,1,0,0.83
1472520,100%,99%,t,2,7,t,t,Dorchester,42.30856,-71.04646,Private room in home,Private room,3,,1,,,2,18,t,0,0,0,0,756,40,0,0,57,240,,4.88,4.92,4.92,4.91,4.88,4.83,4.86,f,2,1,1,0,5.13
1545185,100%,92%,t,4,6,t,t,Brighton,42.34873,-71.15693,Entire guest suite,Entire home/apt,2,1,1,1,$128.00 ,2,90,t,3,9,9,9,303,51,4,9,43,255,32640,4.82,4.89,4.77,4.9,4.9,4.86,4.79,f,4,4,0,0,2.08
1551205,N/A,N/A,f,1,2,t,t,Fenway,42.34175,-71.08359,Entire rental unit,Entire home/apt,4,,2,,,91,365,t,30,60,90,365,40,0,0,99,0,0,,4.85,4.93,4.58,4.88,4.88,5,4.73,f,1,1,0,0,0.27
1596470,100%,97%,f,2,5,t,t,Bay Village,42.34988,-71.06918,Entire townhouse,Entire home/apt,9,,3,,,29,1124,t,0,0,0,0,172,0,0,0,3,0,,4.98,4.99,4.94,4.94,4.98,4.96,4.86,t,2,2,0,0,1.54
1596664,100%,84%,t,3,7,t,t,Roxbury,42.3256,-71.09413,Private room in townhouse,Private room,1,2,1,1,$56.00 ,30,65,t,2,32,62,242,27,2,0,72,2,120,6720,4.85,4.93,4.67,4.96,5,4.7,4.63,f,3,0,3,0,0.3
1644031,N/A,N/A,f,1,3,t,t,South Boston,42.33835,-71.0472,Private room in townhouse,Private room,2,1,1,1,$124.00 ,1,365,t,4,16,45,45,628,70,6,45,80,255,31620,4.86,4.91,4.88,4.93,4.94,4.87,4.74,f,1,0,1,0,5.39
1668313,N/A,N/A,f,2,2,t,t,Roslindale,42.28132,-71.13377,Private room in home,Private room,1,,,,,29,1125,t,0,0,0,0,38,0,0,0,0,0,,4.79,4.82,4.79,4.87,4.95,4.74,4.74,f,2,0,2,0,0.26
1682936,67%,65%,f,4,4,t,t,Back Bay,42.349278,-71.087074,Entire rental unit,Entire home/apt,2,,1,,,30,730,t,0,0,4,13,238,2,0,13,2,120,,4.84,4.91,4.9,4.88,4.79,4.55,4.79,f,4,4,0,0,1.69
1692573,100%,68%,t,2,2,t,t,Jamaica Plain,42.31293,-71.11527,Entire home,Entire home/apt,4,1,2,3,$214.00 ,2,1125,t,2,19,37,295,326,26,1,37,30,156,33384,4.91,4.91,4.96,4.94,4.95,4.93,4.84,f,1,1,0,0,2.25
1721016,100%,25%,f,3,6,t,t,Roslindale,42.28639,-71.13199,Entire loft,Entire home/apt,2,1.5,1,1,$112.00 ,29,365,t,20,48,78,353,13,1,0,87,2,58,6496,4.92,4.92,5,4.92,4.92,4.77,4.85,f,3,3,0,0,0.11
1724900,100%,25%,f,3,6,t,t,Roslindale,42.28447,-71.13301,Entire home,Entire home/apt,4,1,2,2,$167.00 ,29,365,t,23,53,83,358,44,0,0,92,0,0,0,4.61,4.86,4.81,4.95,4.79,4.56,4.65,f,3,3,0,0,0.3
1732804,100%,100%,t,1,1,t,t,Dorchester,42.29009,-71.05762,Private room in rental unit,Private room,2,1,1,1,$63.00 ,1,28,t,2,25,50,320,199,15,5,60,8,90,5670,4.89,4.93,4.69,4.98,5,4.7,4.81,f,1,0,1,0,1.37
1810172,N/A,N/A,f,2,2,t,t,Roslindale,42.28127,-71.13304,Private room in home,Private room,2,1,1,1,$63.00 ,29,1125,t,0,0,0,265,47,0,0,0,1,0,0,4.81,4.91,4.74,4.91,4.98,4.7,4.8,f,2,0,2,0,0.32
1810397,100%,100%,,2,2,t,t,South End,42.34279,-71.0711,Entire townhouse,Entire home/apt,6,2.5,3,4,"$1,250.00 ",5,1125,t,21,51,66,287,60,8,0,75,5,80,100000,4.97,4.95,4.91,4.93,4.97,4.98,4.74,f,1,1,0,0,0.44
1815326,100%,100%,f,2,2,t,t,Brighton,42.3569,-71.1624,Private room in townhouse,Private room,2,1.5,1,1,$118.00 ,29,1125,t,28,58,88,363,303,0,0,98,0,0,0,4.76,4.84,4.84,4.92,4.91,4.61,4.76,t,2,0,2,0,2.21
1819994,100%,N/A,f,7,9,t,t,Fenway,42.34981,-71.09476,Entire condo,Entire home/apt,1,1,2,1,$258.00 ,91,365,t,28,58,88,363,2,0,0,97,0,0,0,4,4.5,3,3.5,4.5,5,3.5,f,4,4,0,0,0.02
1886037,N/A,N/A,f,1,1,t,t,Beacon Hill,42.35985,-71.0717,Entire rental unit,Entire home/apt,4,,2,,,91,1125,t,0,0,0,0,1,0,0,0,0,0,,5,5,4,5,5,5,5,f,1,1,0,0,0.01
1956275,N/A,N/A,f,1,1,t,t,Jamaica Plain,42.3079,-71.12378,Entire rental unit,Entire home/apt,6,,3,,,91,250,t,0,0,0,0,105,0,0,0,0,0,,4.41,4.54,4.43,4.65,4.7,4.42,4.41,f,1,1,0,0,0.74
2014651,N/A,N/A,f,1,1,t,t,Jamaica Plain,42.30593,-71.10733,Private room in rental unit,Private room,2,1,1,1,$120.00 ,91,1125,t,30,60,90,365,38,0,0,100,0,0,0,4.62,4.81,4.58,4.83,4.86,4.56,4.36,f,1,0,1,0,0.27
2021483,100%,56%,t,7,10,t,t,South Boston,42.3358,-71.04948,Entire condo,Entire home/apt,6,2,2,4,$598.00 ,29,1125,t,0,28,58,148,22,0,0,68,2,0,0,4.86,4.86,4.82,4.91,4.95,4.95,4.64,f,7,3,4,0,0.2
2021489,100%,56%,t,7,10,t,t,South Boston,42.33375,-71.04767,Private room in condo,Private room,3,1,1,1,$187.00 ,29,1125,t,30,60,90,365,85,0,0,100,0,0,0,4.73,4.82,4.79,4.96,4.99,4.79,4.73,f,7,3,4,0,0.74
2108738,N/A,N/A,f,1,1,t,f,Back Bay,42.3504,-71.08891,Entire rental unit,Entire home/apt,2,,,,,91,1125,t,0,0,0,0,32,0,0,0,0,0,,4.31,4.59,3.75,4.84,5,4.97,4.47,f,1,1,0,0,0.22
2141306,N/A,N/A,f,1,2,t,t,Downtown,42.3559,-71.05998,Entire rental unit,Entire home/apt,6,,2,,,91,1125,t,0,0,0,0,7,0,0,0,0,0,,4.86,4.86,4.57,4.71,4.86,5,4.57,f,1,1,0,0,0.05
2183117,100%,40%,f,1,1,t,f,Allston,42.34995,-71.13427,Entire rental unit,Entire home/apt,2,1,1,1,$181.00 ,30,90,t,2,2,13,74,55,1,0,22,3,60,10860,4.84,4.84,4.71,4.91,4.95,4.8,4.7,f,1,1,0,0,0.42
2215762,100%,96%,t,7,8,t,t,South End,42.342121,-71.075073,Entire rental unit,Entire home/apt,2,1,1,1,$303.00 ,3,365,t,8,34,64,183,97,9,1,73,14,54,16362,4.82,4.75,4.87,4.92,4.88,4.95,4.62,f,7,7,0,0,0.7
2378421,100%,87%,t,1,2,t,f,Jamaica Plain,42.31146,-71.11947,Entire guest suite,Entire home/apt,2,1,1,2,$180.00 ,2,14,t,1,2,20,90,208,18,2,20,15,108,19440,4.96,4.95,4.99,4.96,4.97,4.97,4.88,f,1,1,0,0,1.49
2381143,100%,87%,t,3,6,t,t,Brighton,42.34391,-71.15628,Entire rental unit,Entire home/apt,2,1,1,1,$75.00 ,91,1125,t,0,0,0,146,12,2,1,10,1,255,19125,4.92,4.83,4.83,4.92,4.83,4.92,4.92,f,3,3,0,0,0.09
2395326,N/A,N/A,,3,3,t,t,South End,42.34568,-71.07169,Entire rental unit,Entire home/apt,2,,1,,,29,1125,t,0,0,0,0,407,0,0,0,0,0,,4.86,4.94,4.67,4.97,4.98,4.98,4.77,f,1,1,0,0,2.93
2410846,100%,85%,t,1,13,t,t,Downtown,42.35702,-71.06168,Entire rental unit,Entire home/apt,2,1,1,1,$175.00 ,91,1124,t,0,0,0,171,37,1,0,1,1,182,31850,4.68,4.73,4.54,4.78,4.78,5,4.7,f,1,1,0,0,0.27
2495047,100%,96%,t,7,8,t,t,South End,42.34309,-71.07316,Entire rental unit,Entire home/apt,2,1,0,0,$269.00 ,2,365,t,13,38,68,157,98,13,1,77,12,78,20982,4.84,4.88,4.94,4.92,4.89,4.99,4.55,t,7,7,0,0,0.73
2526773,100%,87%,t,3,6,t,t,Brighton,42.34272,-71.15672,Entire rental unit,Entire home/apt,2,1,1,1,$77.00 ,91,1125,t,0,0,0,131,19,1,0,0,0,182,14014,4.84,4.84,4.63,4.95,4.95,4.79,4.63,f,3,3,0,0,0.14
2672058,N/A,N/A,f,1,2,t,t,Allston,42.35429,-71.13251,Private room in rental unit,Private room,2,,,,,91,1125,t,0,0,0,0,12,0,0,0,0,0,,4.25,4.75,4.08,4.25,4.67,4.83,4.5,f,1,0,1,0,0.09
2701124,N/A,N/A,f,1,2,t,t,Back Bay,42.34492,-71.08482,Entire rental unit,Entire home/apt,4,1,1,2,$280.00 ,29,1125,t,30,60,90,365,74,0,0,99,0,0,0,4.61,4.74,4.52,4.75,4.82,4.86,4.63,t,1,1,0,0,0.55
2723274,N/A,N/A,f,1,1,t,t,Bay Village,42.34868,-71.07043,Entire condo,Entire home/apt,2,,2,,,29,30,t,0,0,0,0,26,0,0,0,0,0,,4.88,4.96,4.92,5,4.96,5,4.81,f,1,1,0,0,0.19
2754975,N/A,100%,f,2,3,t,t,Beacon Hill,42.35902,-71.06296,Entire rental unit,Entire home/apt,4,1,1,2,$150.00 ,365,1125,t,25,55,85,360,99,0,0,94,0,0,0,4.87,4.95,4.82,4.99,4.97,5,4.75,f,1,1,0,0,0.72
2864688,80%,33%,f,9,18,t,t,Charlestown,42.38148,-71.06967,Entire condo,Entire home/apt,5,2,3,4,$237.00 ,91,352,t,30,60,90,365,0,0,0,99,0,0,0,,,,,,,,f,3,2,1,0,
2886933,100%,91%,t,1,1,t,f,Hyde Park,42.26043,-71.11766,Entire home,Entire home/apt,6,,4,,,2,365,t,3,3,3,3,138,9,1,3,11,54,,4.93,4.99,4.96,4.99,4.99,4.64,4.86,f,1,1,0,0,1
3164650,100%,34%,f,21,32,t,t,Hyde Park,42.23533,-71.13256,Entire guest suite,Entire home/apt,4,1,2,2,$125.00 ,29,1125,t,3,3,30,305,38,0,0,40,1,0,0,4.5,4.57,4.5,4.82,4.97,4.47,4.63,f,11,11,0,0,0.28
3193484,100%,98%,f,27,30,t,t,Dorchester,42.28814,-71.06889,Private room in rental unit,Private room,1,1,1,1,$51.00 ,30,365,t,30,60,90,365,15,3,1,99,2,180,9180,4.87,4.87,4.67,5,4.8,4.47,4.67,f,27,5,22,0,0.12
