id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
43301292,98%,99%,f,448,2201,t,t,Chinatown,42.352093,-71.06081,Entire serviced apartment,Entire home/apt,3,,,,,29,1125,t,27,56,86,360,7,0,0,95,2,0,,4.71,4.71,4.71,5,4.86,4.57,4.43,t,29,29,0,0,0.12
43301511,98%,99%,f,448,2201,t,t,Chinatown,42.352093,-71.06081,Entire serviced apartment,Entire home/apt,3,,,,,29,1125,t,27,56,86,360,9,0,0,95,0,0,,4.22,4.67,4.44,5,4.56,4.78,3.78,t,29,29,0,0,0.15
43394464,N/A,N/A,f,1,1,t,t,Jamaica Plain,42.30447,-71.11556,Entire townhouse,Entire home/apt,6,,3,,,60,70,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,f,1,1,0,0,
43566910,100%,86%,t,2,2,t,t,South Boston Waterfront,42.34843,-71.04859,Entire condo,Entire home/apt,2,1,0,1,$191.00 ,29,730,t,0,18,48,178,6,2,0,57,0,116,22156,5,5,5,5,5,5,4.83,f,1,1,0,0,0.15
43605329,N/A,N/A,f,1,5,t,f,Back Bay,42.34923,-71.08622,Entire condo,Entire home/apt,3,,2,,,29,30,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,f,1,1,0,0,
43673971,94%,59%,f,21,29,t,t,Back Bay,42.35214,-71.07704,Entire condo,Entire home/apt,2,1,0,1,$130.00 ,32,1125,t,0,24,54,329,1,0,0,63,0,0,0,5,5,5,5,5,5,5,f,12,12,0,0,0.02
43757873,100%,70%,t,2,6,t,t,Charlestown,42.38102,-71.06814,Entire home,Entire home/apt,7,2.5,4,5,$150.00 ,12,100,t,0,0,0,34,6,2,1,0,2,48,7200,5,5,5,5,5,5,5,f,1,1,0,0,0.12
43833357,100%,100%,t,4,4,t,f,Charlestown,42.3755827,-71.0494657,Houseboat,Entire home/apt,2,1,1,1,$311.00 ,2,1125,t,17,45,75,345,71,8,2,85,12,48,14928,4.99,4.99,4.96,5,5,4.99,4.82,t,3,3,0,0,1.14
43899519,100%,98%,t,1,2,t,t,Roxbury,42.31698,-71.09315,Entire guest suite,Entire home/apt,2,1,1,1,$137.00 ,2,14,t,9,33,63,243,254,42,5,73,46,252,34524,4.85,4.89,4.92,4.93,4.95,4.65,4.72,f,1,1,0,0,4.1
43921666,100%,100%,f,134,1206,t,t,Chinatown,42.352093,-71.060806,Entire serviced apartment,Entire home/apt,5,,2,,,29,1125,t,10,34,64,338,1,0,0,73,0,0,,5,5,5,5,5,5,5,t,5,5,0,0,0.03
43957080,100%,100%,f,134,1206,t,t,Chinatown,42.352093,-71.060806,Entire serviced apartment,Entire home/apt,5,,2,,,29,1125,t,10,34,64,338,6,0,0,73,0,0,,4.67,4.5,4.83,4.17,4.67,5,4.17,t,5,5,0,0,0.11
43977877,N/A,100%,f,2,5,t,t,Bay Village,42.34991,-71.0674,Entire condo,Entire home/apt,4,2.5,2,4,$170.00 ,91,730,t,0,0,3,278,1,1,0,12,0,182,30940,5,5,5,5,5,5,5,f,1,1,0,0,0.54
43994299,80%,33%,f,9,18,t,t,Charlestown,42.38318,-71.07211,Private room in rental unit,Private room,3,2,1,1,$100.00 ,29,200,t,30,60,90,365,1,0,0,99,0,0,0,5,5,5,5,5,4,3,f,3,2,1,0,0.03
44014524,100%,71%,t,3,7,t,t,Downtown,42.35055,-71.06486,Entire rental unit,Entire home/apt,2,1,0,2,$216.00 ,91,365,t,0,0,1,276,1,0,0,10,0,0,0,2,1,1,5,5,4,2,f,3,3,0,0,0.04
44053258,100%,96%,f,5084,5865,t,t,Downtown,42.35221,-71.06442,Entire rental unit,Entire home/apt,2,1,0,1,$238.00 ,32,1125,t,0,0,6,281,0,0,0,15,0,0,0,,,,,,,,t,343,343,0,0,
44064171,100%,97%,t,2,2,t,t,South End,42.3432405,-71.0772402,Entire guest suite,Entire home/apt,2,1,1,2,$259.00 ,3,730,t,1,29,54,233,19,12,2,63,12,72,18648,5,5,5,4.95,4.95,5,5,f,2,2,0,0,1.09
44135040,100%,100%,t,4,4,t,f,Charlestown,42.37603,-71.05034,Boat,Entire home/apt,6,2,2,3,$448.00 ,2,1125,t,12,40,70,264,79,9,2,79,3,54,24192,5,4.99,4.91,5,4.99,4.96,4.81,t,3,3,0,0,1.25
44207601,0%,N/A,f,1,1,t,t,South End,42.34085,-71.08078,Private room in bed and breakfast,Private room,2,1,1,1,$151.00 ,29,1125,t,28,58,88,177,0,0,0,97,0,0,0,,,,,,,,f,1,0,1,0,
44242670,100%,96%,f,5084,5865,t,t,Back Bay,42.348633,-71.074088,Entire rental unit,Entire home/apt,2,,1,,,32,1125,t,0,0,0,0,0,0,0,0,0,0,,,,,,,,,t,343,343,0,0,
44261204,55%,30%,f,15,18,t,t,Back Bay,42.35155,-71.08738,Entire condo,Entire home/apt,2,1,0,1,$232.00 ,32,730,t,20,50,80,355,0,0,0,89,0,0,0,,,,,,,,f,7,7,0,0,
44340294,90%,95%,f,1,1,t,t,Roslindale,42.27743,-71.1406,Entire rental unit,Entire home/apt,4,1,1,2,$127.00 ,2,1125,t,5,16,46,222,246,44,5,56,45,255,32385,4.71,4.81,4.82,4.8,4.89,4.71,4.69,f,1,1,0,0,3.94
44356157,N/A,N/A,f,1,1,t,t,Downtown,42.36364,-71.06227,Room in boutique hotel,Private room,2,,,,,30,30,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,f,1,0,1,0,
44444878,83%,55%,t,2,3,t,f,Back Bay,42.3523,-71.08539,Entire condo,Entire home/apt,2,1,1,2,$145.00 ,270,1125,t,24,54,84,359,5,0,0,93,0,0,0,5,4.8,4.8,5,5,5,4.6,f,1,1,0,0,0.09
44549370,95%,91%,f,117,207,t,t,Brighton,42.33973,-71.14656,Entire rental unit,Entire home/apt,4,1,1,1,$155.00 ,180,1125,t,30,60,90,332,1,0,0,100,0,0,0,5,4,5,5,5,5,5,f,33,33,0,0,0.02
44681847,100%,100%,f,79,112,t,t,Roxbury,42.32849,-71.09338,Private room in serviced apartment,Private room,1,,1,,,30,1125,t,4,4,32,218,2,0,0,41,0,0,,3,4,3,3.5,3,4,2.5,f,57,27,30,0,0.04
